Institution,Sector,Subsector
AFFIN BANK BERHAD,All Financial Institutions,Commercial Banks
ALLIANCE BANK MALAYSIA BERHAD,All Financial Institutions,Commercial Banks
AMBANK (M) BERHAD,All Financial Institutions,Commercial Banks
CIMB BANK BERHAD,All Financial Institutions,Commercial Banks
HONG LEONG BANK BERHAD,All Financial Institutions,Commercial Banks
HSBC BANK MALAYSIA BERHAD,All Financial Institutions,Commercial Banks
MALAYAN BANKING BERHAD,All Financial Institutions,Commercial Banks
OCBC BANK (MALAYSIA) BERHAD,All Financial Institutions,Commercial Banks
PUBLIC BANK BERHAD,All Financial Institutions,Commercial Banks
RHB BANK BERHAD,All Financial Institutions,Commercial Banks
STANDARD CHARTERED BANK MALAYSIA BERHAD,All Financial Institutions,Commercial Banks
UNITED OVERSEAS BANK (MALAYSIA) BHD.,All Financial Institutions,Commercial Banks
AGROBANK (BANK PERTANIAN MALAYSIA BERHAD),All Financial Institutions,DFI
BANK PEMBANGUNAN MALAYSIA BERHAD,All Financial Institutions,DFI
BANK SIMPANAN NASIONAL,All Financial Institutions,DFI
DANAJAMIN NASIONAL BERHAD,All Financial Institutions,DFI
EXPORT-IMPORT BANK OF MALAYSIA BERHAD,All Financial Institutions,DFI
SMALL MEDIUM ENTERPRISE DEVELOPMENT BANK MALAYSIA BERHAD,All Financial Institutions,DFI
AEON BANK (M) BERHAD,All Financial Institutions,Digital Banks
BOOST BANK BERHAD,All Financial Institutions,Digital Banks
GX BANK BERHAD,All Financial Institutions,Digital Banks
KAF DIGITAL BERHAD,All Financial Institutions,Digital Banks
YTL DIGITAL BANK BERHAD,All Financial Institutions,Digital Banks
BANGKOK BANK BERHAD,All Financial Institutions,Foreign Banks
BANK OF AMERICA MALAYSIA BERHAD,All Financial Institutions,Foreign Banks
BANK OF CHINA (MALAYSIA) BERHAD,All Financial Institutions,Foreign Banks
BANK OF TOKYO-MITSUBISHI UFJ (MALAYSIA) BERHAD,All Financial Institutions,Foreign Banks
BNP PARIBAS MALAYSIA BERHAD,All Financial Institutions,Foreign Banks
CHINA CONSTRUCTION BANK MALAYSIA BERHAD,All Financial Institutions,Foreign Banks
CITIBANK BERHAD,All Financial Institutions,Foreign Banks
DEUTSCHE BANK (MALAYSIA) BERHAD,All Financial Institutions,Foreign Banks
INDIA INTERNATIONAL BANK (MALAYSIA) BERHAD,All Financial Institutions,Foreign Banks
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (MALAYSIA) BERHAD,All Financial Institutions,Foreign Banks
J.P MORGAN CHASE BANK BERHAD,All Financial Institutions,Foreign Banks
MIZUHO CORPORATE BANK (MALAYSIA) BERHAD,All Financial Institutions,Foreign Banks
NATIONAL BANK OF ABU DHABI MALAYSIA BERHAD,All Financial Institutions,Foreign Banks
SUMITOMO MITSUI BANKING CORPORATION MALAYSIA BERHAD,All Financial Institutions,Foreign Banks
THE BANK OF NOVA SCOTIA BERHAD,All Financial Institutions,Foreign Banks
THE ROYAL BANK OF SCOTLAND BERHAD,All Financial Institutions,Foreign Banks
AIA BHD.,All Financial Institutions,Insurers
AIA GENERAL BERHAD,All Financial Institutions,Insurers
AIG MALAYSIA INSURANCE BERHAD,All Financial Institutions,Insurers
ALLIANZ GENERAL INSURANCE COMPANY (MALAYSIA) BERHAD,All Financial Institutions,Insurers
ALLIANZ LIFE INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
AMBRA VERSICHERUNG AG,All Financial Institutions,Insurers
AMMETLIFE INSURANCE BERHAD,All Financial Institutions,Insurers
ASIA CAPITAL REINSURANCE MALAYSIA SDN. BHD.,All Financial Institutions,Insurers
BERJAYA SOMPO INSURANCE BERHAD,All Financial Institutions,Insurers
CHUBB INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
ETIQA GENERAL INSURANCE BERHAD,All Financial Institutions,Insurers
ETIQA LIFE INSURANCE BERHAD,All Financial Institutions,Insurers
FWD INSURANCE BERHAD,All Financial Institutions,Insurers
GENERALI INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
GENERALI LIFE INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
GREAT EASTERN GENERAL INSURANCE (MALAYSIA) BERHAD,All Financial Institutions,Insurers
GREAT EASTERN LIFE ASSURANCE (MALAYSIA) BERHAD,All Financial Institutions,Insurers
"HANNOVER RUECKVERSICHERUNG AG, MALAYSIAN BRANCH",All Financial Institutions,Insurers
HONG LEONG ASSURANCE BERHAD,All Financial Institutions,Insurers
LIBERTY GENERAL INSURANCE BERHAD,All Financial Institutions,Insurers
LONPAC INSURANCE BHD.,All Financial Institutions,Insurers
MALAYSIAN LIFE REINSURANCE GROUP BERHAD,All Financial Institutions,Insurers
MALAYSIAN REINSURANCE BERHAD,All Financial Institutions,Insurers
MANULIFE INSURANCE BERHAD,All Financial Institutions,Insurers
MCIS INSURANCE BERHAD,All Financial Institutions,Insurers
MSIG INSURANCE (MALAYSIA) BHD,All Financial Institutions,Insurers
PACIFIC & ORIENT INSURANCE CO. BERHAD,All Financial Institutions,Insurers
PROGRESSIVE INSURANCE BHD.,All Financial Institutions,Insurers
PRUDENTIAL ASSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
QBE INSURANCE (MALAYSIA) BERHAD,All Financial Institutions,Insurers
RHB INSURANCE BERHAD,All Financial Institutions,Insurers
SUN LIFE MALAYSIA ASSURANCE BERHAD,All Financial Institutions,Insurers
SWISS RE ASIA PTE LTD,All Financial Institutions,Insurers
THE PACIFIC INSURANCE BERHAD,All Financial Institutions,Insurers
THE TOA REINSURANCE COMPANY LTD.,All Financial Institutions,Insurers
TOKIO MARINE INSURANS (MALAYSIA) BERHAD,All Financial Institutions,Insurers
TOKIO MARINE LIFE INSURANCE MALAYSIA BHD,All Financial Institutions,Insurers
TUNE INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
ZURICH GENERAL INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
ZURICH LIFE INSURANCE MALAYSIA BERHAD,All Financial Institutions,Insurers
ALKHAIR INTERNATIONAL ISLAMIC BANK BHD,All Financial Institutions,International Islamic Banks
"DEUTSCHE BANK AG, INTERNATIONAL ISLAMIC BANKING, MALAYSIA BRANCH",All Financial Institutions,International Islamic Banks
IBDAR BANK BSC,All Financial Institutions,International Islamic Banks
"PT. BANK SYARIAH MUALAMAT INDONESIA, TBK",All Financial Institutions,International Islamic Banks
AFFIN HWANG INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
ALLIANCE INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
AMINVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
CIMB INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
HONG LEONG INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
KAF INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
KENANGA INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
MAYBANK INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
MIDF AMANAH INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
PUBLIC INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
RHB INVESTMENT BANK BERHAD,All Financial Institutions,Investment Banks
AFFIN ISLAMIC BANK BERHAD,All Financial Institutions,Islamic Banks
AL RAJHI BANKING & INVESTMENT CORPORATION (MALAYSIA) BHD,All Financial Institutions,Islamic Banks
ALLIANCE ISLAMIC BANK BERHAD,All Financial Institutions,Islamic Banks
AMBANK ISLAMIC BERHAD,All Financial Institutions,Islamic Banks
BANK ISLAM MALAYSIA BERHAD,All Financial Institutions,Islamic Banks
BANK KERJASAMA RAKYAT MALAYSIA BERHAD,All Financial Institutions,Islamic Banks
BANK MUAMALAT MALAYSIA BERHAD,All Financial Institutions,Islamic Banks
CIMB ISLAMIC BANK BERHAD,All Financial Institutions,Islamic Banks
HONG LEONG ISLAMIC BANK BERHAD,All Financial Institutions,Islamic Banks
HSBC AMANAH MALAYSIA BERHAD,All Financial Institutions,Islamic Banks
KUWAIT FINANCE HOUSE (MALAYSIA) BERHAD,All Financial Institutions,Islamic Banks
MAYBANK ISLAMIC BERHAD,All Financial Institutions,Islamic Banks
MBSB BANK BERHAD,All Financial Institutions,Islamic Banks
OCBC AL-AMIN BANK BERHAD,All Financial Institutions,Islamic Banks
PUBLIC ISLAMIC BANK BERHAD,All Financial Institutions,Islamic Banks
RHB ISLAMIC BANK BERHAD,All Financial Institutions,Islamic Banks
STANDARD CHARTERED SAADIQ BERHAD,All Financial Institutions,Islamic Banks
ACR RETAKAFUL BERHAD,All Financial Institutions,Takaful Operators
AIA PUBLIC TAKAFUL BHD.,All Financial Institutions,Takaful Operators
AMMETLIFE TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
ETIQA FAMILY TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
ETIQA GENERAL TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
FWD TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
GREAT EASTERN TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
HONG LEONG MSIG TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT (Munich Re Retakaful),All Financial Institutions,Takaful Operators
PRUDENTIAL BSN TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
SUN LIFE MALAYSIA TAKAFUL BERHAD,All Financial Institutions,Takaful Operators
SWISS REINSURANCE COMPANY LTD (SWISS RE RETAKAFUL),All Financial Institutions,Takaful Operators
SYARIKAT TAKAFUL MALAYSIA AM BERHAD,All Financial Institutions,Takaful Operators
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,All Financial Institutions,Takaful Operators
TAKAFUL IKHLAS FAMILY BERHAD,All Financial Institutions,Takaful Operators
TAKAFUL IKHLAS GENERAL BERHAD,All Financial Institutions,Takaful Operators
ZURICH GENERAL TAKAFUL MALAYSIA BERHAD,All Financial Institutions,Takaful Operators
ZURICH TAKAFUL MALAYSIA BERHAD,All Financial Institutions,Takaful Operators
